xWort,reviewFrequency,reviewDate
der Traum,,
der Umzug,,
der Unfall,,
der Verkehr,,
der Vertrag,,
der Vogel,,
der Volleyball,,
der Vorschlag,,
der Wagen,,
der Wald,,
der Weg,,
der Witz,,
der Workshop,,
der Wunsch,,
der Zahn,,
der Zettel,,
der Zirkus,,
der Zoo,,
der Zucker,,
der/das Blog,,
der/das Comic,,
der/das Laptop,,
der/die,,
deshalb,,
deutlich,,
dick,,
die (E-)Mail,,
die Ahnung,,
die Ampel,,
die Angst,,
die Apotheke,,
die Band,,
die Baustelle,,
die Bluse,,
die Bohne,,
die Brille,,
die Brücke,,
die Bäckerei,,
die Cafeteria,,
die Chefin,,
die Creme,,
die Datei,,
die Entschuldi,,
die Erfahrung,,
die Erlaubnis,,
die Feier,,
die Ferien,,
die Freundin,,
die Fundsachen,,
die Führung,,
die Gabel,,
die Garage,,
die Geldbörse,,
die Geschichte,,
die Gesundheit,,
die Gitarre,,
die Grippe,,
die Größe,,
die Hauptstadt,,
die Heizung,,
die Homepage,,
die Hose,,
die Idee,,
die Insel,,
die Jeans,,
die Jugend,,
die Kamera,,
die Katze,,
die Kette,,
die Kirche,,
die Kosmetik,,
die Kranken,,
die Krankheit,,
die Kreuzung,,
die Kultur,,
die Kunst,,
die Küche,,
die Lampe,,
die Lebens,,
die Lust,,
die Lüge,,
die Mailbox,,
die Meinung,,
die Menge,,
die Messe,,
die Mode,,
die Musik,,
die Möbel,,
die Mütze,,
die Nachricht,,
die Natur,,
die Note,,
die Notiz,,
die Nudel,,
die Nähe,,
die Orange,,
die Person,,
die Pflanze,,
die Pizza,,
die Portion,,
die Postkarte,,
die Postleit,,
die Prüfung,,
die Qualität,,
die Reihe,,
die Reinigung,,
die Rose,,
die Ruhe,,
die Sache,,
die Schere,,
die Schokolade,,
die Schülerin,,
die See,,
die Sehens,,
die Seife,,
die Seite,,
die Sendung,,
die Situation,,
die Sprech,,
die Straßen,,
die Suppe,,
die Süßigkeiten,,
die Tablette,,
die Tafel,,
die Tasse,,
die Torte,,
die Tour,,
die Tür,,
die Unterkunft,,
die Veranstal,,
die Webseite,W,2025-08-09
die Werkstatt,,
die Wolke,,
die Wurst,,
die Wäsche,,
die Zahl,,
die Zeitschrift,,
die Zitrone,,
die Über,,
direkt,,
diskutieren,,
dium,,
doch,,
dringend,,
drinnen,,
drüben,,
drücken,,
dumm,,
dunkel,,
durfte,,
dünn,T,2025-08-03
dürfen,,
echt,,
egal,,
eigen,,
eigentlich,,
einig,,
einpacken,,
einverstanden,,
einzel,,
einziehen,,
endlich,,
eng,,
erinnert,,
erklären,,
erreichen,,
erst,,
erzählen,,
etwas,,
fallen,,
fantastisch,,
fast,,
faul,,
fett,,
fleißig,,
freiwillig,,
freundlich,,
frisch,,
froh,,
früh,,
früher,,
frühstücken,,
furchtbar,,
fängt an,,
fühlt,,
füllt aus,,
für,,
ganz,,
geben/sagen,,
Geburts,,
geehrt,,
gefährlich,,
gegenüber,,
geht aus,,
gehängt,,
gehören,,
genau,,
genug,,
gern,,
gesund,,
gibt ab,,
gibt aus,,
glücklich,,
günstig,,
hart,,
hat abgegeben,,
hat angemacht,,
hat aufgemacht,,
hat aufgeräumt,,
hat ausgefüllt,,
hat ausgegeben,,
hat ausgemacht,,
hat ausgepackt,,
hat ausgeruht,,
hat ausgesprochen,,
hat ausgetragen,,
hat beantwortet,,
hat bedankt,,
hat bedeutet,,
hat beeilt,,
hat beendet,,
hat begonnen,,
hat begründet,,
hat benutzt,,
hat berichtet,,
hat beschrieben,,
hat bestätigt,,
hat besucht,,
hat beworben,,
hat bezahlt,,
hat buchstabiert,,
hat diskutiert,,
hat eingekauft,,
hat eingeladen,,
hat eingepackt,,
hat empfohlen,,
hat erklärt,,
hat ferngesehen,,
hat fotografiert,,
hat geantwortet,,
hat gebacken,,
hat gebastelt,,
hat gebaut,,
hat gebeten,,
hat gebracht,,
hat gebraten,,
hat gebucht,,
hat gechattet,,
hat gedankt,,
hat gedauert,,
hat gedruckt,,
hat gefrühstückt,,
hat gegessen,,
hat gegrillt,,
hat geheiratet,,
hat gehofft,,
hat geholfen,,
hat geholt,,
hat gehustet,,
hat gehört,,
hat gekauft,,
hat gelegt,,
hat gelernt,,
hat gelesen,,
hat geliebt,,
hat geliefert,,
hat geliehen,,
hat gemalt,,
hat gemietet,,
hat gemocht,,
hat gepackt,,
hat geprüft,,
hat geputzt,,
hat gerechnet,,
hat geregnet,,
hat gesammelt,,
hat geschenkt,,
hat geschienen,,
hat geschneit,,
hat geschrieben,,
hat gespart,,
hat gespeichert,,
hat gesprochen,,
hat gestellt,,
hat gestritten,,
hat gesungen,,
hat getanzt,,
hat getroffen,,
hat getrunken,,
hat geträumt,,
hat gewartet,,
hat gewaschen,,
hat gewechselt,,
hat geweckt,,
hat gewohnt,W,2025-08-09
hat gewollt,,
hat gewonnen,,
hat gezahlt,,
hat gezeichnet,,
hat gezeigt,,
hat geärgert,,
hat gratuliert,,
hat hergestellt,,
hat heruntergeladen,,
hat informiert,,
hat kennengelernt,,
hat leidgetan,,
hat notiert,,
hat organisiert,,
hat probiert,,
hat renoviert,,
hat repariert,,
hat reserviert,,
hat stattgefunden,,
hat studiert,,
hat teilgenommen,,
hat telefoniert,,
hat trainiert,,
hat unterhalten,,
hat unternommen,,
hat unterschrieben,,
hat untersucht,,
hat verdient,,
hat vereinbart,,
hat vergessen,,
hat verglichen,,
hat verkauft,,
hat verletzt,,
hat verliebt,,
hat vermietet,,
hat verpasst,,
hat verschoben,,
hat verstanden,,
hat wehgetan,,
hat wiederholt,,
hat zugehört,,
hat zugemacht,,
hat übernachtet,,
hat übersetzt,,
hat überwiesen,,
heraus/raus,,
herein/rein,,
herstellen,,
herunterladen,,
hinter,,
hoffen,,
hoffentlich,,
holt ab,,
husten,,
hängen,,
hässlich,,
hören,,
hört auf,,
hört zu,,
informieren,,
intelligent,,
interessant,,
interessiert,,
ist angekommen,,
ist aufgestanden,,
ist ausgegangen,,
ist ausgestiegen,,
ist eingestiegen,,
ist eingezogen,,
ist einverstanden,,
ist erkältet,,
ist gefallen,,
ist gereist,,
ist geritten,,
ist geschwommen,,
ist gewandert,,
ist passiert,,
ist umgestiegen,,
ist umgezogen,,
jeder,,
jemand,,
joggen,,
Jugendliche,,
kalt,,
kauft ein,,
klappen,,
Klub,,
klug,,
komisch,,
kommt an,,
konnte,,
kontrollieren,,
kostenlos,,
können,,
kühl,,
kümmert,,
lang,,
langweilig,W,2025-08-09
lassen,,
leer,,
leihen,,
liefern,,
lädt ein,,
lügen,,
machen/-helfen,,
macht an,,
macht auf,,
macht aus,,
macht zu,,
malen,,
manch,,
manchmal,,
meinen,,
meistens,,
meldet an,,
merken,,
mindestens,,
mochte,,
modern,,
männlich,,
möchten,,
mögen,,
möglich,,
müde,,
müssen,,
nass,,
natürlich,,
neben,,
nebenan,,
neblig,,
nennen,,
nervös,,
nett,,
niemand,,
nirgends,,
notieren,,
notwendig,,
nächste,,
nützlich,,
offen,,
online,,
organisieren,,
packen,,
packt aus,,
packt ein,,
parken,,
Pass auf,,
passen,,
passieren,,
passt auf,,
planen,,
plötzlich,,
praktisch,,
preiswert,,
privat,,
pro,,
probieren,,
prüfen,,
putzen,,
pünktlich,,
raten,,
rechnen,,
reden,,
reich,,
reiten,,
renovieren,,
reservieren,,
reservierte,,
romantisch,,
rufen,,
ruft an,,
ruht aus,,
rund,,
räumt auf,,
sammeln,,
sammelt,,
sauber,,
sauer,,
schade,,
schaffen,,
scharf,,
schenken,,
schimpfen,,
schließt ab,,
schlimm,,
schmutzig,,
schneidet,,
schneien,,
schrecklich,,
schriftlich,,
schwach,,
schwanger,,
schwierig,,
schädlich,,
schön,,
selbst,,
sicher,,
sieht an,,
sieht aus,,
singen,,
sogar,,
sollte,,
sonnig,,
sonst,,
spannend,,
sparen,,
speichern,,
sportlich,,
spricht aus,,
spät,,
später,,
stark,,
stattfinden,,
steht auf,,
steig ein,,
steigt aus,,
steigt ein,,
steigt um,,
stellt her,,
stellt vor,,
sterben,,
streng,,
stressig,,
stunde,,
stören,,
super,,
surfen,,
sympathisch,,
süß,,
teilen,,
teilnehmen,,
telefon,,
tief,,
toll,,
total,,
tragen,,
trainieren,,
traurig,,
trifft,,
trocken,,
trägt aus,,
trägt ein,,
träumen,,
tschüs,,
tung,,
typisch,,
umsteigen,,
unbedingt,T,2025-08-03
unterhält,,
unternehmen,,
untersuchen,,
vereinbaren,,
vergessen,,
vergisst,,
vergleichen,,
verletzt,,
verlieren,,
verpassen,,
verreisen,,
verschieben,,
verschieden,,
versuchen,,
voll,,
vorbei,,
vorbereiten,,
vorgestern,,
vorher,,
vorn(e),,
vorsichtig,,
vorwärts,,
wach,,
wahr,,
wahrscheinlich,,
warm,,
wartet,,
weinen,,
welcher,,
wenigstens,,
wählen,,
wünschen,,
zeichnen,,
zeigen,,
zieht ein,,
zieht um,,
zuerst,,
zuhören,,
zuletzt,,
zumachen,,
zurück,,
ändern,,
ärgert,,
öffnen,,
üben,,
über,,
überall,,
übermorgen,,
übernachten,,
übersetzen,,
überweisen,,
hat angesehen,,
Feierabend,,
Infotafel,,
Bekannte,,
Feiertag,,
Geburts-,,
Lieblings-,,
all-,,
am besten,,
am liebsten,,
an sein / aus sein,,
ander-,,
antwortet,,
auf jeden/,,
ausruhen,,
bedanken,,
bedeutet,,
beeilen,,
beendet,,
begründet,,
berichtet,,
beschreiben?,,
beschreibt,,
beschweren,,
besteht,,
bestätigt,,
bewerben,,
bittet,,
bucht,,
bäckt/backt,,
chattet,,
da(r) (Bsp. darauf,,
dabei (sein),,
dafür/dagegen sein,,
dagegen gewesen,,
das Erdgeschoss,,
das Medikament,,
das Schlafzimmer,,
das Wiederhören,,
das Wohnzimmer,,
de Rentner,,
der Ehepartner,,
der Fotoapparat,,
der Supermarkt,,
der Unterschied,,
der Wettbewerb,,
die Ausbildung,,
die Ausstellung,,
die Bewerbung,,
die Bibliothek,,
die Disko,,
die Ermäßigung,,
die Kenntnisse,,
die Kollegin,,
die Kundin,,
die Landschaft,,
die Mannschaft,,
die Nachbarin,,
die Rentnerin,,
die Studentin,,
die Touristin,,
die Universität,,
die Vermieterin,,
die Verspätung,,
diskutiert,,
eigen-,,
ein paar,,
einig-,,
eintragen,,
einzel-,,
empfiehlt,,
entschuldig t,,
erinnern,,
erkältet sein,,
erlaubt sein,,
erreicht,,
fertig sein,,
findet statt,,
fit sein,,
fliegt (ab),,
frühstückt,,
fährt (ab),,
fühlen,,
gang,,
geehrt-,,
geht spazieren,,
gewesen,,
gung,,
gültig sein,,
hat (aus)getauscht,,
hat abgeholt,,
hat abgeschlossen,,
hat angeboten,,
hat angefangen,,
hat angemeldet,,
hat angerufen,,
hat aufgehört,,
hat aufgepasst,,
hat ausgesehen,,
hat beraten,,
hat beschwert,,
hat besichtigt,,
hat bestanden,,
hat bestellt,,
hat eingetragen,,
hat entschuldig t,,
hat erinnert,,
hat erlaubt,,
hat erreicht,,
hat erzählt,,
hat gearbeitet,,
hat gebadet,,
hat gebraucht,,
hat gedacht,,
hat gedrückt,,
hat gedurft,,
hat geduscht,,
hat geendet,,
hat gefallen,,
hat gefehlt,,
hat gefeiert,,
hat gefragt,,
hat gefreut,,
hat gefunden,,
hat gegeben,,
hat geglaubt,,
hat gehalten,,
hat gehangen/,,
hat geheißen,,
hat gekannt,,
hat geklappt,,
hat gekocht,,
hat gekonnt,,
hat gekostet,,
hat gekriegt,,
hat gekümmert,,
hat gekündigt,,
hat gelacht,,
hat gelassen,,
hat gelebt,,
hat gelogen,,
hat gemacht,,
hat gemeint,,
hat gemerkt,,
hat genannt,,
hat genommen,,
hat geparkt,,
hat gepasst,,
hat geplant,,
hat geraten,,
hat geraucht,,
hat geredet,,
hat gerochen,,
hat gerufen,,
hat gesagt,,
hat geschafft,,
hat geschickt,,
hat geschimpft,,
hat geschlafen,,
hat geschlossen,,
hat geschmeckt,,
hat geschnitten,,
hat gesehen,,
hat gespielt,,
hat gestört,,
hat gesucht,,
hat getan,,
hat geteilt,,
hat getragen,,
hat geweint,,
hat gewusst,,
hat gewählt,,
hat geändert,,
hat geöffnet,,
hat geübt,,
hat interessiert,,
hat kontrolliert,,
hat recht,,
hat recht gehabt,,
hat sich umgezogen,,
hat verloren,,
hat versucht,,
hat vorbereitet,,
hat vorgestellt,,
hat/ist gelegen,,
hat/ist gesessen,,
hat/ist gestanden,,
hat/ist gesurft,,
hatte recht,,
herberge,,
informiert,,
interessieren,,
ist (ab)gefahren,,
ist (ab)geflogen,,
ist dabei,,
ist dabei gewesen,,
ist dafür/,,
ist dafür/dagegen,,
ist erlaubt,,
ist erlaubt gewesen,,
ist fertig,,
ist fertig gewesen,,
ist fit gewesen,,
ist geblieben,,
ist gegangen,,
ist gekommen,,
ist gelaufen,,
ist gestorben,,
ist gewesen,,
ist geworden,,
ist gültig,,
ist gültig gewesen,,
ist spazieren gegangen,,
ist unterwegs,,
ist unterwegs gewesen,,
ist verabredet,,
ist verabredet gewesen,,
ist verreist,,
ist/hat gejoggt,,
kasse,,
keinen Fall,,
kontrolliert,,
kümmern,,
kündigen,,
leidtun/leid tun,,
lernt kennen,,
letzt-,,
lieb-,,
lädt herunter,,
mal / das Mal,,
manch-,,
meist-,,
mittel,,
mittel,,
musste,,
name,,
nimmt teil,,
organisiert,,
passiert,,
probiert,,
recht haben,,
renoviert,,
reserviert,,
schenkt,,
schimpft,,
schneiden,,
schneit,,
schrank,,
setzen,,
setzt,,
setzung,,
sich umziehen,,
sie im Radio gesagt.,,
sieht fern,,
spazieren gehen,,
speichert,,
spricht,,
streiten,,
streitet,,
tauscht (aus),,
trainiert,,
träumt,,
tut leid,,
tut weh,,
unterhalten,,
unternimmt,,
untersucht,,
unterwegs sein,,
verabredet sein,T,2025-08-03
verbieten /,,
verboten sein,,
vereinbart,,
vergleicht,,
verletzen,,
verlieben,,
verliebt,,
verliert,,
vermietet,,
verpasst,,
verreist,,
verschiebt,,
versucht,,
wandert,,
war dabei,,
war dafür/dagegen,,
war einverstanden,,
war erkältet,T,2025-08-03
war erlaubt,,
war fertig,,
war fit,,
war gültig,,
war unterwegs,,
war verabredet,,
wasser,,
wechseln,,
wechselt,,
wecken,,
weckt,,
weg,,
wegen,,
wehtun,,
weich,,
weil,,
wenn,,
wer (wen,,
wieder,,
windig,,
wirklich,,
witzig,,
wollte,,
wunsch,,
wäscht,,
würdigkeit,,
zeichnet,,
zentrum,,
zieht (an/aus),,
zieht sich um,,
zog sich um,,
zurück-,,
ärgern,,
übernachtet,,
übersetzt,,
überweist,W,2025-08-09
das Einkaufszentrum,,
das Krankenhaus,,
das Mineralwasser,,
das Mobiltelefon,,
das Stipendium,,
das Verkehrsmittel,,
der Anrufbeantworter,,
der Führerschein,,
der Glückwunsch,,
der Kühlschrank,,
der Spaziergang,,
die Jugendherberge,,
die Krankenkasse,,
die Sehenswürdigkeiten,,
die Sprechstunde,,
die Veranstaltung,,
die Übersetzung,,
